line,panel,error1,error2
3,LXS,0.000130364,0.000130364
5,LXS,0.000647203,0.000647203
7,LXS,0.000329652,0.000329652
8,LXS,0.000656955,0.000656955
9,LXS,0.000284889,0.000284889
13,LXS,0.004807364,0.004807364
14,LXS,0.000142349,0.000142349
16,LXS,0.000687371,0.000687371
19,LXS,0.000194417,0.000194417
22,LXS,0.004524704,0.004524704
23,LXS,0.000108104,0.000108104
24,LXS,0.001587077,0.001587077
25,LXS,0.000109517,0.000109517
26,LXS,0.000102361,0.000102361
28,LXS,8.52E-05,8.52E-05
32,LXS,0.000600792,0.000600792
34,LXS,0.000298934,0.000298934
35,LXS,0.001579155,0.001579155
36,LXS,0.00020621,0.00020621
39,LXS,0.000369617,0.000369617
41,LXS,0.0002035,0.0002035
42,LXS,0.002237136,0.002237136
43,LXS,0.000300055,0.000300055
46,LXS,0.000231101,0.000231101
48,LXS,0.000306783,0.000306783
49,LXS,0.000284398,0.000284398
50,LXS,0.000101737,0.000101737
51,LXS,0.000430849,0.000430849
52,LXS,0.000112724,0.000112724
56,LXS,0.000656186,0.000656186
60,LXS,0.0002245,0.0002245
62,LXS,0.000328814,0.000328814
64,LXS,0.000485643,0.000485643
66,LXS,0.000337429,0.000337429
70,LXS,0.001015847,0.001015847
72,LXS,0.000360998,0.000360998
73,LXS,0.002552336,0.002552336
75,LXS,0.003290156,0.003290156
76,LXS,0.000864712,0.000864712
78,LXS,0.001554057,0.001554057
80,LXS,0.001395589,0.001395589
84,LXS,0.000761003,0.000761003
86,LXS,0.000500601,0.000500601
87,LXS,0.001260697,0.001260697
89,LXS,0.001103822,0.001103822
90,LXS,0.003319367,0.003319367
92,LXS,0.001577767,0.001577767
93,LXS,0.004701048,0.004701048
94,LXS,0.002679379,0.002679379
96,LXS,0.001802258,0.001802258
97,LXS,0.003456982,0.003456982
98,LXS,0.000637024,0.000637024
99,LXS,0.001628664,0.001628664
100,LXS,0.002429345,0.002429345
101,LXS,0.001113457,0.001113457
102,LXS,0.000601233,0.000601233
103,LXS,0.000620136,0.000620136
107,LXS,0.0006413,0.0006413
110,LXS,0.001501409,0.001501409
112,LXS,0.000403288,0.000403288
114,LXS,0.001843201,0.001843201
115,LXS,0.001066423,0.001066423
122,LXS,0.001119105,0.001119105
123,LXS,0.002579803,0.002579803
1,B6.A,0.000114721,0.000354359
2,B6.A,0.000169178,0.000451365
3,B6.A,7.85E-05,0.000413822
4,B6.A,0.000104239,0
5,B6.A,0.000131619,0.000190949
6,B6.A,0.000143941,0.000412116
7,B6.A,0.000143252,0.001337793
8,B6.A,0.000118317,0.000384763
9,B6.A,0.000170653,0
10,B6.A,7.67E-05,0.001680108
11,B6.A,0.000131408,0.000387072
12,B6.A,0.000170385,0
13,B6.A,0.000104641,0.000207426
14,B6.A,0.000577879,0
15,B6.A,7.73E-05,0.000820345
16,B6.A,0.000114733,0
17,B6.A,7.76E-05,0.000251193
18,B6.A,0.000179347,0
19,B6.A,0.000190503,0.000791766
X,B6.A,0.000163504,0.001135074
Y,B6.A,0.000172259,NA
M,B6.A,0.000258388,NA
A1,AXB,0.006275223,0.00613422
B1,AXB,0.000482514,0.001129456
A2,AXB,0.000849505,0.001069246
B2,AXB,0.000515856,0.001079715
A4,AXB,0.000781103,0.001082824
B4,AXB,0.000459323,0.00071939
A5,AXB,0.000652955,0.001177699
A6,AXB,0.000862405,0.001660819
A8,AXB,0.000616602,0.000880991
A10,AXB,0.000468988,0.001380613
B11,AXB,0.000661247,0.002012882
A12,AXB,0.000855561,0.002083655
B12,AXB,0.000308585,0.000885548
A13,AXB,0.000480794,0.000969784
B13,AXB,0.000615328,0.000996253
B14,AXB,0.000573323,0.000830414
A15,AXB,0.000542784,0.00092827
B16,AXB,0.000822432,0.001131677
B.17,AXB,0.000648307,0.000524489
A18,AXB,0.000308698,0.000828251
A23,AXB,0.00050054,0.000736504
A24,AXB,0.000285946,0.000681347
B24,AXB,0.00105908,0.001244107
B25,AXB,0.00120603,0.001698711
B26,AXB,0.000721426,0.001155431
1,BXD,0.000959651,0.001307773
2,BXD,0.002444606,0.00317403
5,BXD,0.001250112,0.001542686
6,BXD,0.001115242,0.001815095
8,BXD,0.000973778,0.001291345
9,BXD,0.000931481,0.00144956
11,BXD,0.00118859,0.001457064
12,BXD,0.001187378,0.001408825
13,BXD,0.001569489,0.0022578
14,BXD,0.002551737,0.003393665
15,BXD,0.005785943,0.003843652
16,BXD,0.001009276,0.001713965
18,BXD,0.001109847,0.001239308
19,BXD,0.001448675,0.001789883
20,BXD,0.001009105,0.001416553
21,BXD,0.001422281,0.001550121
22,BXD,0.001014493,0.001033404
23,BXD,0.000773816,0.001497363
24,BXD,0.002329167,0.002718438
25,BXD,0.005002981,0.005542031
27,BXD,0.001470698,0.001752777
28,BXD,0.001784652,0.001925998
29,BXD,0.000832265,0.001679646
30,BXD,0.000982258,0.001210111
31,BXD,0.001301313,0.001860438
32,BXD,0.001116833,0.001506073
33,BXD,0.000828834,0.001029248
34,BXD,0.000342231,0.000640752
35,BXD,0.000504626,0.000711339
36,BXD,0.000474413,0.000574256
38,BXD,0.001715634,0.001579066
39,BXD,0.000563077,0.001048988
40,BXD,0.000480165,0.000657384
42,BXD,0.000468689,0.000876334
43,BXD,0.000326435,0.000673422
44,BXD,0.000726942,0.000837275
45,BXD,0.000360058,0.000506557
47,BXD,0.000273868,0.001104519
48,BXD,0.001114302,0.001506962
49,BXD,0.000298444,0.001292546
50,BXD,0.000568947,0.000456631
51,BXD,0.002085981,0.002563814
52,BXD,0.000905001,0.002032922
53,BXD,0.000635042,0.001654846
54,BXD,0.000281637,0.000651741
55,BXD,0.002136055,0.002116402
56,BXD,0.001544799,0.001964683
59,BXD,0.000761495,0.001310187
60,BXD,0.002021974,0.003458006
61,BXD,0.00053053,0.000755519
62,BXD,0.004275513,0.003503703
63,BXD,0.000238234,0.000585286
64,BXD,0.000494718,0.000780345
65,BXD,0.001602527,0.001879419
66,BXD,0.002608719,0.003698336
67,BXD,0.000353459,0.000416886
68,BXD,0.000413655,0.000735459
69,BXD,0.00149721,0.001902926
70,BXD,0.003372512,0.004030106
71,BXD,0.000824017,0.001838418
73,BXD,0.000502465,0.001014176
74,BXD,0.000285396,0.000457457
75,BXD,0.000697938,0.000817528
76,BXD,0.00052393,0.000431553
77,BXD,0.002390258,0.003373046
78,BXD,0.001465491,0.001848704
79,BXD,0.000410146,0.000700329
80,BXD,0.000248571,0.000355405
81,BXD,0.00045974,0.000698435
82,BXD,0.001143629,0.001311153
83,BXD,0.000674345,0.00049848
84,BXD,0.000704908,0.00290549
85,BXD,0.005486891,0.004827685
86,BXD,0.000723383,0.001096148
87,BXD,0.002489091,0.002746201
88,BXD,0.000489133,0.001772808
89,BXD,0.000656383,0.000728941
90,BXD,0.003100477,0.002772598
91,BXD,0.000274499,0.000803712
92,BXD,0.008117762,0.008771276
93,BXD,0.00223972,0.006118918
94,BXD,0.002232206,0.004309064
95,BXD,0.001261279,0.00112619
96,BXD,0.000654243,0.000905311
97,BXD,0.000195257,0.00032145
98,BXD,0.000506427,0.000923309
99,BXD,0.000454236,0.000564957
100,BXD,0.000376123,0.000376022
101,BXD,0.000707589,0.000851555
102,BXD,0.000658657,0.000952205
103,BXD,0.000547363,0.000649984
1,B6.PWD,0.000363573,0.002501172
Xp,B6.PWD,0.000543854,0.009855453
2,B6.PWD,0.001240157,0.005284016
Xm,B6.PWD,0.000708493,0.00757315
3,B6.PWD,0.000413633,0.003073321
Xd,B6.PWD,0.000805407,0.008203445
4,B6.PWD,0.000505384,0.002664446
5,B6.PWD,0.000980886,0.003370587
6,B6.PWD,0.002230431,0.004443347
7,B6.PWD,0.001059276,0.002595717
8,B6.PWD,0.000464241,0.00335417
9,B6.PWD,0.000627423,0.004135396
10p,B6.PWD,0.000933995,0.00418556
10m,B6.PWD,0.000590338,0.002980626
10d,B6.PWD,0.000718307,0.000968367
11p,B6.PWD,0.001126211,0.001824342
11m,B6.PWD,0.000711982,0.000650618
11d,B6.PWD,0.000928251,0.003151733
12,B6.PWD,0.000342366,0.001654533
13,B6.PWD,0.001167432,0.002819991
14,B6.PWD,0.000482446,0.001268499
15,B6.PWD,0.000803158,0.006852835
16,B6.PWD,0.002543469,0.00526118
17,B6.PWD,0.001267158,0.003779289
18,B6.PWD,0.000605642,0.003187533
19,B6.PWD,0.00214623,0.004920049
M,B6.PWD,0.001106789,NA
Y,B6.PWD,0.000887059,NA
10T,B6.MSM,0.00020242,0.001768868
11,B6.MSM,0.000768294,0.002994012
12C,B6.MSM,0.000220208,0.00292113
12T,B6.MSM,0.000228722,0.001441961
13C,B6.MSM,0.000275811,0.003330306
13T,B6.MSM,0.000464824,0.001419111
14,B6.MSM,0.00027994,0.002036245
15,B6.MSM,0.001106724,0.004582111
16,B6.MSM,0.00030732,0.001277411
17,B6.MSM,0.000178074,0.00260223
18,B6.MSM,0.000196913,0.002577794
19,B6.MSM,0.000137582,0.000656168
1,B6.MSM,0.00033112,0.001575051
2C,B6.MSM,0.000433423,0.004676754
2T,B6.MSM,0.00047817,0.001803969
3,B6.MSM,0.000283768,0.001730376
4,B6.MSM,0.000158723,0.001007455
5C,B6.MSM,0.000287734,0
5T,B6.MSM,0.000200342,0.001766004
6C,B6.MSM,0.00038208,0.00244366
6T,B6.MSM,0.00041617,0.003152585
7C,B6.MSM,0.000377701,0.002429937
7T,B6.MSM,0.000129713,0.001938924
8,B6.MSM,0.000423733,0.001871385
9,B6.MSM,0.000312536,0.001386963
XC,B6.MSM,0.000155999,0.004194902
XT,B6.MSM,0.000246119,0.005061156
Y,B6.MSM,0.000169526,NA
M,B6.MSM,0.000562129,NA
